site,nodeclass,bucket,count
filter,SliceNode,3,604
filter,SliceNode,4-8,375
filter,ReverseNode,2,7918
filter,ReverseNode,3,1736
filter,ReverseNode,4-8,1151
filter,ReverseNode,9-32,83
filter,ReverseNode,33+,6
filter,Empty,0,322621
filter,PrimArr,33+,2
filter,Updated,2,11
filter,Updated,3,1
foreach,RefArr,2,504867
foreach,RefArr,3,169437
foreach,RefArr,4-8,197505
foreach,RefArr,9-32,91066
foreach,RefArr,33+,27114
foreach,RefOne,1,3167172
foreach,RefPrepend,2,121460
foreach,RefPrepend,3,33128
foreach,RefPrepend,4-8,49976
foreach,RefPrepend,9-32,11433
foreach,RefPrepend,33+,1169
foreach,RefAppend,2,8918
foreach,RefAppend,3,1077
foreach,RefAppend,4-8,3616
foreach,RefAppend,9-32,939
foreach,RefAppend,33+,33
foreach,Concat,2,14476
foreach,Concat,3,10839
foreach,Concat,4-8,13546
foreach,Concat,9-32,4317
foreach,Concat,33+,437
foreach,SliceNode,2,15834
foreach,SliceNode,3,7240
foreach,SliceNode,4-8,8242
foreach,SliceNode,9-32,1402
foreach,SliceNode,33+,62
foreach,ReverseNode,2,14531
foreach,ReverseNode,3,8286
foreach,ReverseNode,4-8,14586
foreach,ReverseNode,9-32,14002
foreach,ReverseNode,33+,1864
foreach,Empty,0,3473556
foreach,PrimArr,2,48
foreach,PrimArr,33+,1
foreach,FlatMap,9-32,26
foreach,FlatMap,33+,8
